,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n
12,1.215182657,1.376290399,1.415521816,1.159935261,0.862369359,0.169718339,1.123013498,2.583704046,0,2.162843719,0.597427709,2.265876239,0.865043033,1.282228699,0.210856523,1.156077823,0.771463695,1.473620028,1.057217612,1.692470938,0.852886445,0.884548978,1.219708511,1.76560255,0.850876449,0.534332216
13,0.873505932,1.73475513,1.016474381,1.049819819,1.082033231,0,1.120217527,1.848025307,0,2.511902836,1.039930301,1.956169277,0.633785955,1.431688385,0.163775874,1.035866578,1.424425239,1.485248386,1.055818355,1.792823103,1.080528167,0.552943719,1.875797912,2.023671304,0.831975877,0.904959505
14,0.674691951,1.697463271,1.354776951,0.877294435,0.306360249,0,1.401196963,2.048784682,0.012005151,2.240071584,0.698849923,1.254309915,0.258713977,1.251668303,0.568348325,0.918685295,0.543847422,1.470366655,0.986694678,1.811622581,0.946197095,0,0.922840745,1.654758525,1.277366298,0.613808335
15,0.923172932,2.350894898,1.797795986,1.657996375,0.632601216,0.222674973,1.193434154,1.790379116,0,2.369142093,1.037784318,1.82931245,0,1.743248501,0.384770259,1.07802961,0.856187449,1.346832641,0.645660844,1.288710882,0.815919196,0.97306689,1.107399161,1.954232506,0.542741968,1.086447219
16,1.226945907,1.358682446,1.273081956,1.1343047,0.411551841,0.092224165,1.886394623,2.145350471,0.229072396,1.98640375,1.09530834,2.263903927,0.621160828,1.286999905,0.471825668,1.272196683,0.401062528,0.949427909,0,1.716306545,0.600793675,0.435989465,0.868427344,1.891438608,1.170699537,1.348593084
17,1.115612334,1.925013515,0.886653795,1.438377812,0.64889159,0.340582759,1.221047378,2.02434011,0,2.861494285,0.971522077,2.32930495,0.407250266,1.846712035,0,1.375495055,1.120777988,0.907028773,0.679469027,1.541370107,0.519323744,0.210317022,1.307063966,2.484097875,1.214499397,1.115706321
18,1.047331381,1.358453728,1.349782527,1.531515393,0.926306946,0.132868625,1.206254951,2.180135892,0,2.285828083,0.144495376,1.902075403,0.447823963,1.388236343,0.317562185,1.596277325,0.346171152,1.613135974,0.550422523,0.954618285,0.874378033,0.394660296,1.099358245,1.088490624,0.939523272,1.143784468
19,0.987340636,1.402640674,1.18474894,0.992531207,0.821749493,0.504187283,1.50907694,2.120528276,0,2.494287116,1.224958873,2.136152076,0,1.244915873,1.20697627,1.177864501,0.598693335,1.269046063,0.589282789,2.260548833,1.089507204,0.498728456,1.425644833,1.753898957,0.76321411,1.082384285
20,1.645623011,1.985779508,0.848272861,0.919972898,0.754207121,0.258080759,1.25082208,2.394965078,0,2.66985653,0.686155509,1.839053389,0.593403978,1.220923994,0,0.853289393,0.628184635,1.545827394,1.242305842,1.906076081,0.289361688,0.224622628,1.324616195,1.961078906,1.142646024,0.160472359
21,0.92671329,1.43535703,1.101420672,0.68374151,0,0,1.237357298,2.036538288,0.350687916,2.083305979,0.547322972,1.877048698,0,1.016261035,0.525290851,1.372260926,1.089450786,1.338441158,0.234241366,1.762274764,0.888142757,1.106075051,1.571266643,1.816310773,0.518546767,0.992281493
22,0.877469762,1.657177117,1.144452132,1.518274994,0.840628062,0,1.321347773,1.932233326,0.110200874,2.85818812,0.857197087,2.408306133,0.223995882,1.108783679,0.124992123,0.803850808,0.379921937,0.718980373,0.567858788,2.01701886,0.333760519,0.197683178,1.227965052,1.806402715,1.054717251,0.832997102
